text,label,category,is_mixed
Driver was polite and very helpful.,4,positive,0
laptop corner dented — poor handling during delivery,1,damage,0
package arrived in perfect condition. thank you,3,driver_conduct,0
"Delivery was significantly delayed, arriving 57 mins past ETA.",0,delay,0
"Box looked a little dented but everything insife was fine, driver was great.",1,damage,1
Fastest delivery I have ever had. Very impressed,4,positive,0
"Arrived exactly on time, well packaged. Dive stars",4,positive,0
missing one item but the driver apologized and was professional,2,wrong_order,1
excellent service! delivery arrived 10 minutes early.,4,positive,0
Driver was 78 min late and also quite rude about it,0,delay,1
Order was 61 minutes late AND the box arrived damaged.,0,delay,1
Driver called ahead and followed all instructions perfectly.,3,driver_conduct,0
Delivery person did not follow contactless instructions.,3,driver_conduct,0
Box was torn open and contents were damaged.,1,damage,0
Driver came by earlier,4,positive,1
Driver arrived 78 minutes after the estimated window.,0,delay,0
No-show — driver cancelled without warning.,3,driver_conduct,0
guy was so rude when i asked him to wait a sec,3,driver_conduct,0
package status changed to delivered.,1,damage,1
Missing one item but the driver apologized and was professional.,2,wrong_order,1
Drover marked delivered but never arrived,3,driver_conduct,0
Excellent service! Delivery arrived 10 minutes early!,4,positive,0
two out of five items missing from the delivery.,2,wrong_order,0
Took 32 minutes longer than usual but driver was very polite about the delay.,0,delay,1
"Driver was using phone while driving, nearly caused accident.",3,driver_conduct,0
Driver came by earlier.,4,positive,1
Took 66 minutes longer than usual but driver was very polite about the delay,3,driver_conduct,1
Order took over 55 minutes due to heavy traffic.,0,delay,0
great communication throughout the delivery process.,4,positive,0
"Delivery was significantly delayed, arriving 15 mins past ETA",3,driver_conduct,0
driver marked delivered but never arrived.,3,driver_conduct,0
"Delivery was significantly delayed, arriving 43 mins past ETA.",0,delay,0
driver was polite and very helpful.,4,positive,0
order was processed and delivered.,4,positive,1
"item smashed, looks like it was thrown around",1,damage,0
Late again — driver took 37 minutes longer than expected.,0,delay,0
Order was 34 minutes late AND the box arrived damaged.,0,delay,1
fragile sticker ignored — item arrived in pieces.,1,damage,0
"no complaints, everything went smoothly, thanks!",4,positive,0
"no complaints, everything went smoothly, thanks!",4,positive,0
driver left package outside in the rain without notificatiom.,1,damage,0
No knock or ring — package left on the strret.,4,positive,0
Fragile syicker ignored — item arrived in pieces,1,damage,0
Very slow delivery today — 85 minute delay on a shoet route.,0,delay,0
"no complaints, everything went smoothly, thanks!",4,positive,0
"arrived exactly on time, well packaged. five stars!",4,positive,0
Missing one item but the driver apologized and was professional.,2,wrong_order,1
No-show — driver cancellrd without warning.,3,driver_conduct,0
Missing one item but the driver apologized and was professional.,2,wrong_order,1
Wrong product delivered. Barcode doesn't match my order.,2,wrong_order,0
"delivered to wrong address, i had to collect it myself",2,wrong_order,0
Driver gave me the wrong order and was dismissive when I asked.,2,wrong_order,1
excellent service! delivery arrived 10 mins early.,4,positive,0
"Box looked a little dented but everything inside was fine, driver was great.",1,damage,1
multiple items broken. needs urgent replacement.,1,damage,0
Order update received.,4,positive,1
Half the order is missing from the bag.,2,wrong_order,0
Driver refused to carry package to my floor.,3,driver_conduct,0
took 47 minutes longer than usual but driver was very polite about the delay.,0,delay,1
"Driver was using phone while driving, nearly caused accident.",3,driver_conduct,0
"really happy with this delivery, driver was super nice",1,damage,0
Medicine package was opened and tampered with!,1,damage,0
"no complaints, everything went smoothly, thanks!",4,positive,0
Order took over 68 minutes due to heavy traffic.,0,delay,0
"Wrong item delivered — ordered size L, got size S.",2,wrong_order,0
"item smashed, looks like it was thrown around",1,damage,0
"Expected in 20 mins, arrived after 73 minutes total.",0,delay,0
"Arrived exactly on time, well packaged. Five stars",4,positive,0
"no complaints, everything went smoothly, thsnks!",4,positive,0
Great communication throughout the delivery process.,4,positive,0
Traffic caused a 46-minute delay. Please improve routing.,0,delay,0
"Wrong item delivered, and it was also crushed in the bag.",2,wrong_order,1
order update received.,4,positive,1
Item substituted without my cinsent!,2,wrong_order,0
"missing half my stuff, only got 2 of 4 items",2,wrong_order,0
two out of five items missing from the delivery.,2,wrong_order,0
Driver was 70 min late and also quite rude about it,0,delay,1
Got my package.,4,positive,1
Order was 60 minutes late AND the box areived damaged,0,delay,1
Driver was 79 min late and also quite rude about it.,0,delay,1
"delivery running late again, 27 min behind schedule",0,delay,0
Driver marked delivered but never arrived.,3,driver_conduct,0
"still waiting, app said 38 min but its been longer",0,delay,0
"drover didnt even knock, just left and marked it delivered",3,driver_conduct,0
Driver refused to carry package to my floor.,3,driver_conduct,0
Package delayed by 83 minutrs — no update from the app.,0,delay,0
"Package was a bit late but arrived in perfect condition, no complaints.",0,delay,1
Driver refused to carry package to my floor.,3,driver_conduct,0
"Package waa a bit late but arrived in perfect condition, no complaints.",2,wrong_order,1
Order was processed and delivered.,4,positive,1
"Delivery was significantly delayed, arriving 65 mins past ETA.",0,delay,0
Completely wrong order arrived at my address.,2,wrong_order,0
Order was 28 minutes late AND the box arrived damaged.,0,delay,1
great communication throughout the delivery process.,4,positive,0
Excellent service! Delivery arrived 10 minutes early.,4,positive,0
driver was rude anf argumentative at the door.,0,delay,0
Took 57 minutes longer than usual but driver was vrry polite about the delay.,0,delay,1
"Wrong item delivered, and it was also crushed in the bag.",2,wrong_order,1
Wrong product delivered. Barcode doesn't match my order.,2,wrong_order,0
"really happy with this deliveey, driver was super nice",4,positive,0
driver was 85 min late and also quote rude about it.,0,delay,1
wrong product delivered. barcode doesn't match my order.,2,wrong_order,0
package delayed by 40 minutes — no update from the app.,0,delay,0
guy was so rude when i asked him to wait a sec,3,driver_conduct,0
Box was torn open and contents were damaged.,4,positive,0
Driver left package outside in the rain without notification,3,driver_conduct,0
great communication throughout the delivery process.,4,positive,0
Got a duplicate of one item and missing another.,2,wrong_order,0
"missing half my stuff, only got 2 of 4 items",3,driver_conduct,0
"this isnt what i ordered at all, cimpletely different item",0,delay,0
delivery happened today,4,positive,1
"no complaints, everything went smoothly, thanks!",4,positive,0
order update received!,4,positive,1
Driver gave me the wrong order and was dismissive when I asked.,2,wrong_order,1
very unprofessional behaviour from the delivery agent,3,driver_conduct,0
"Box looked a little dented but everything inside was fine, driver was great.",1,damage,1
My delivery was 50 mins late with no notification.,0,delay,0
Very slow delivery today — 63 minute delay on a short route!,0,delay,0
Half the order is missing from the bag.,2,wrong_order,0
No-show — driver cancelled without warning,3,driver_conduct,0
order was processed and delivered.,4,positive,1
Package arrived completely crushed.,1,damage,0
"Delivered to wrong address, I had to collect it myself.",2,wrong_order,0
Package delayed by 26 minutes — no updste from the app.,0,delay,0
Electronics delivered with cracked screen,1,damage,0
driver gave me the wrong order and was dismissive when i asked,2,wrong_order,1
Fragilr sticker ignored — item arrived in pieces.,1,damage,0
very slow delivery today — 73 minute delay on a short route,0,delay,0
"Wrong item delivered — ordered size L, got size S.",2,wrong_order,0
Very slow delivery today — 61 minute delay on a short route.,0,delay,0
Missing one item but the driver apologized and was professional.,2,wrong_order,1
Two out of five itrms missing from the delivery.,2,wrong_order,0
"Driver was using phone while driving, nearly caused accident.",3,driver_conduct,0
Multiple items broken. Needs urgent replacement.,4,positive,0
Package arrived in perfect condition. Thank you!,4,positive,0
"really happy with this delivery, driver was super nice",4,positive,0
No knock or ring — package left on the street.,2,wrong_order,0
"still waiting, app said 73 min but its been longer",0,delay,0
Excellent service! Delivery arrived 10 minutes early.,4,positive,0
"package was a bit late but arrived in perfect condition, no complaints",0,delay,1
"wrong item delivered, and it was also crushed in the bag.",2,wrong_order,1
guy was so rude when i asked him to wait a sec,2,wrong_order,0
took 81 mins longer than usual buy driver was very polite about the delay.,0,delay,1
order was processed and delivered.,4,positive,1
"Box looked a little dented but everything inside was fine, driver was great.",1,damage,1
"delivery running late again, 70 min behind schedule",0,delay,0
Order was 43 minutes late AND the box arrived damaged.,0,delay,1
Missing one item but the driver apologized and was professional.,2,wrong_order,1
Medicine package was opened and tampered with.,1,damage,0
Wrong product delivered. Barcode doesn't match my order.,2,wrong_order,0
"Perfect delivery — no issues at all, great experience.",4,positive,0
received the order as scheduled.,4,positive,1
Excellent service! Delivery arrived 10 minutes early.,4,positive,0
took 22 minutes longer than usual but driver was very polite about the delay.,0,delay,1
Received someone else's package entirely.,2,wrong_order,0
order took over 55 minutes due to heavy traffic.,0,delay,0
No-show — driver cancelled without warning!,3,driver_conduct,0
Delivery confirmed at the door.,4,positive,1
"delivery running late again, 66 min behind schedule",0,delay,0
Delivery hsppened today,4,positive,1
Multiple items broken. Needs urgent replacement.,1,damage,0
"still waiting, app said 16 min but its been longer",0,delay,0
Wrong product delivered. Barcode doesn't match my order.,2,wrong_order,0
"Arrived exactly on time, well packaged. Five stars!",4,positive,0
"Driver was using phone while driving, nearly caused accident.",3,driver_conduct,0
"Food spilled inside the bag, everything was wet.",1,damage,0
"item smashed, looks like it was thrown around",4,positive,0
order was 32 minuyes late and the box arrived damaged,0,delay,1
Driver was 51 min late and also quite rude about it.,0,delay,1
Completely wrong order arrived at my address.,2,wrong_order,0
Order update eeceived.,4,positive,1
Delivery confirmed at the door!,4,positive,1
"missing half my stuff, only got 2 of 4 items",2,wrong_order,0
Driver left package outside in the rain without notification.,3,driver_conduct,0
Order was processed and delivered.,4,positive,1
"box was soaking wet when it got here, ruined everything inside",1,damage,0
Took 45 minutes longer than usual but driver was very polite about the delay!,0,delay,1
"Delivery was significantly delayed, arriving 64 mins past ETA!",0,delay,0
Half the ordee is missing from the bag!,2,wrong_order,0
"Carton dented heavily, product inside damaged.",1,damage,0
Driver left package outside in the rain without notification.,3,driver_conduct,0
"Wromg item delivered, and it was also crushed in the bag.",2,wrong_order,1
driver left package outside in the rain without notification.,4,positive,0
receivrd the order as scheduled.,4,positive,1
"delivered to wrong address, i had to collect it myself.",2,wrong_order,0
Electronics felivered with cracked screen.,1,damage,0
no knock or ring — package left on the street.,3,driver_conduct,0
"Package was a bit late but arrived in perfect condition, no cimplaints",0,delay,1
Completely wrong order arrived at my address.,2,wrong_order,0
No knock or ring — package left on the street,3,driver_conduct,0
Delivery person did not follow contactless instructions.,2,wrong_order,0
late again — driver took 54 minutes longer than expected.,0,delay,0
Very slow delivery today — 18 minute delay on a short route.,0,delay,0
Driver was rude and argumentative at the door,3,driver_conduct,0
late again — driver took 67 minutes longrr than expected.,0,delay,0
Driver gave me the wrong order and was dismissive when I asked.,2,wrong_order,1
"Wrong item delivered — ordered size L, got size S.",2,wrong_order,0
missing one item but the driver apologized and was professional!,2,wrong_order,1
Package delayed by 73 mimutes — no update from the app.,0,delay,0
Driver marked delivered but never arrived.,3,driver_conduct,0
"Expected in 20 mins, arrived after 29 minutes total",0,delay,0
electronics delivered with cracked screen.,1,damage,0
Waited 40 extra minuyes because of road congestion.,4,positive,0
took 53 minutes longer than usual but driver was very polite about the delay.,0,delay,1
item was broken in transit — packaging was inadequate.,1,damage,0
very unprofessional behaviour from the delivery agent.,3,driver_conduct,0
missing one item but the driver apologized and was professional.,2,wrong_order,1
order was 82 mins late and the box arrived damaged,0,delay,1
received someone else's package entirely!,2,wrong_order,0
"Package was a bit late but arrived in perfect condition, no complaints",0,delay,1
Driver gave me the wrong order and was dismissive when I asked.,2,wrong_order,1
Delivery person did not follow contactless instructions.,3,driver_conduct,0
Driver called ahead and followed all instructions perfectly.,4,positive,0
"Package was a bit late but arrived in perfect conditiom, no complaints.",0,delay,1
Laptop corner dented — poor handling during delivery.,1,damage,0
Irder took over 54 minutes due to heavy traffic.,0,delay,0
"really happy with this delivery, driver was super nice",4,positive,0
Driver was rude and argumentative at the door.,3,driver_conduct,0
"Delivery was significantly delayed, arriving 86 mins past ETA.",0,delay,0
"package was a bit late but arrived in perfect condition, no complaints.",0,delay,1
Delivery person did not follow contactless instructions.,3,driver_conduct,0
Laptop corner dented — poor handling during delivery.,1,damage,0
"Perfect delivery — no issues at all, great experience.",4,positive,0
delivery happened today.,4,positive,1
"box was soaking wet when it got here, ruined everything inside",1,damage,0
Got a duplicate of one item and missing another.,2,wrong_order,0
Traffic caused a 24-minuye delay. Please improve routing.,0,delay,0
Driver was 16 min late and also quite rude about it.,0,delay,1
Driver left psckage outside in the rain without notification.,3,driver_conduct,0
Order moxed up with another customer.,2,wrong_order,0
"Arrived exactly om time, well packaged. Five stars!",4,positive,0
"driver was using phone while driving, nearly caused accident.",4,positive,0
Took 84 minutes longer than usual but driver was very polite about the delay.,0,delay,1
traffic caused a 55-minute delay. please improve routing.,0,delay,0
"Wrong item delivered — ordered size L, got size S.",2,wrong_order,0
"really happy with this delivery, driver was auper nice",3,driver_conduct,0
Laptop corner dented — poor handling during delivery!,1,damage,0
"Food spilled inside the bag, everything was wet.",1,damage,0
"Package was a bit late but arrived in perfect condition, no complaints.",0,delay,1
"really happy with this delivery, deiver was super nice",4,positive,0
Missing one item but the driver apologized and was professional!,2,wrong_order,1
"Food spilled inside the bag, everything was wet.",1,damage,0
Driver was rude and argumentative at the door,3,driver_conduct,0
"food spilled inside the bag, everything was wet.",2,wrong_order,0
Wrong product delivered. Barcode doesn't match my order.,2,wrong_order,0
Waited 65 extra minutes because of road congestion.,0,delay,0
"Wrong item delivered — ordered size L, got soze S.",2,wrong_order,0
Hald the order is missing from the bag.,2,wrong_order,0
received someone else's package entirely.,2,wrong_order,0
took 73 mins longer than usual but driver was very polite about the delay.,0,delay,1
"drlivery was significantly delayed, arriving 16 mins past eta.",1,damage,0
"delivery was significantly delayed, arriving 86 mins past eta.",0,delay,0
Half the order is missing from the bag!,2,wrong_order,0
Driver left package outside in the rain without notification.,3,driver_conduct,0
Delivery confirmed at the dooe.,4,positive,1
Order update received,4,positive,1
very slow delivery today — 20 minute delay on a short route.,0,delay,0
missing one item but the driver apologized and was professional.,1,damage,1
Took 31 minutes longer than usual but driver was very polite about the delay.,0,delay,1
"Wrong item delivered, and it was also crushed in the bag.",2,wrong_order,1
Driver left package outside in the rain without notification.,3,driver_conduct,0
electronics delivered with cracked screen.,1,damage,0
Half the order is missing fron the bag.,2,wrong_order,0
"Delivered to wrong address, I had to collect it myself",2,wrong_order,0
Excellent service! Delivery arrived 10 mins early.,4,positive,0
Took 85 minutes longer than usual but driver was very polite sbout the delay.,0,delay,1
driver gave me the wrong order and was dismissive when i asked.,2,wrong_order,1
"Box looked a little dented but everything inside was fine, driver was great.",1,damage,1
Delivery confirmed at the door.,2,wrong_order,1
Driver was polite and very helpful,4,positive,0
"Delivery was significantly delayed, arriving 50 mins past ETA.",0,delay,0
Completely wrong order arrivef at my address.,2,wrong_order,0
"Package was a bit late but arrived in perfect condition, no complaints.",0,delay,1
Wrong product delivered. Barcode doesn't match my order.,2,wrong_order,0
Received someone else's package entirely.,2,wrong_order,0
very unprofessional behaviour from the delivery agent.,2,wrong_order,0
drlivery confirmed at the door.,4,positive,1
Driver refused to carry package to my floor,3,driver_conduct,0
"no complaints, everything went smoothly, thanks!",4,positive,0
"driver didnt even knock, just ledt and marked it delivered",3,driver_conduct,0
driver arrived 86 minutes after the estimatrd window.,0,delay,0
"Perfect delivery — no issues at all, great experience.",4,positive,0
completely wrong order arrived at my sddress.,2,wrong_order,0
"really happy with this delivery, driver was super nice",4,positive,0
Multiple items broken. Needs urgent replacement.,1,damage,0
Medicine psckage was opened and tampered with.,1,damage,0
"Carton dented heavily, product inside damaged",1,damage,0
delivery confirmed at the door,4,positive,1
wrong product delivered. barcode doesn't match my order.,2,wrong_order,0
Traffic caused a 17-minute delay. Please impeove routing.,0,delay,0
delivery happened today.,4,positive,1
Package status changed to delivered.,4,positive,1
"missing half my stuff, only got 2 of 4 items",2,wrong_order,0
waited 50 extra minutes bc of road congestion!,0,delay,0
guy was so rude when i asked him to wait a sec,3,driver_conduct,0
Drover was 44 min late and also quite rude about it.,0,delay,1
Driver refused to carry package to my floor,3,driver_conduct,0
"Package was a bit late but arrived in perfect condition, no complaints.",0,delay,1
took 57 minutes longer than usual but driver was very polite about the delay,0,delay,1
Order took over 50 minutes due to heavy traffoc.,0,delay,0
"Deliverrd to wrong address, I had to collect it myself.",2,wrong_order,0
Driver left package outside in the rain without notification.,3,driver_conduct,0
Two out of five items missing from the delivery.,2,wrong_order,0
Driver refused to carry package to my floor.,3,driver_conduct,0
Delivery confirmed at the door.,4,positive,1
Very slow delivery today — 30 minute delay on a short route.,0,delay,0
Electronics delivered with cracked screen.,1,damage,0
Driver called ahead and followed all instructions perfectly,4,positive,0
item was broken in transit — packaging was inadequate.,0,delay,0
"item smashed, looks like it was thrown around",1,damage,0
Wrong product delivered. Barcode doesn't match my order.,2,wrong_order,0
Medicinr package was opened and tampered with.,2,wrong_order,0
Package delayed by 35 minutes — no update from the app.,0,delay,0
missing one item but the driver apologized and was professional!,2,wrong_order,1
"this isnt what i ordered at all, completelt different item",2,wrong_order,0
Missing one item but the driver apologized and was professional.,2,wrong_order,1
Ordrr mixed up with another customer!,2,wrong_order,0
Got my packagr.,4,positive,1
item was broken in transit — packaging was inadequate.,2,wrong_order,0
Outstanding — the driver even helped carry the heavy box,4,positive,0
Received someone else's package entirely.,2,wrong_order,0
No-show — driver cancelled without warning.,3,driver_conduct,0
driver was 68 min late and also quite rude about it,0,delay,1
Electronics delivered with cracked screen.,1,damage,0
Package delayed by 62 minutes — no update from the app.,0,delay,0
Driver refused to carry package to my floor.,3,driver_conduct,0
Order mixed up with another customer.,2,wrong_order,0
"Package was a bit late but arrived in perfect condition, no complaints.",0,delay,1
"box looked a little dented but everything inside was fine, driver was greay",1,damage,1
driver was 22 min late and also quite rude about it.,0,delay,1
Item substituted without my consent.,2,wrong_order,0
box was torn open and contents were famaged.,1,damage,0
Order mixed up with another customer.,2,wrong_order,0
Box was torn open and contents were damaged.,1,damage,0
Completely wrong order arrived at my address.,2,wrong_order,0
Delivery confirmed at the door,4,positive,1
Order was 33 minutes late AND the box arrived damaged.,0,delay,1
Drivrr was polite and very helpful!,4,positive,0
Driver gave me the wring order and was dismissive when I asked!,2,wrong_order,1
Traffic caused a 46-minute delay. pls improve routing.,0,delay,0
driver was 47 min late and also quite rude about it!,0,delay,1
Item substituted without my consent!,2,wrong_order,0
"item smashed, looks like it was thrown around",1,damage,0
"Package was a bit late but arrived in perfect condition, no complaints!",0,delay,1
Package delayed by 55 minutes — no update from the app.,0,delay,0
package arrived in perfect condition. thank you!,4,positive,0
Goy my package.,4,positive,1
"still waiting, app said 64 min but its been longer",0,delay,0
My delivery was 69 minutes late with no notification,0,delay,0
My delivery was 43 minutes late with no noyification.,0,delay,0
No-show — driver cancelled without warning!,3,driver_conduct,0
"Wrong item delivered, and it was also crushed in the bag.",2,wrong_order,1
Wrong product deliveeed. Barcode doesn't match my order.,2,wrong_order,0
Waited 76 extra minutes because of road congestion.,0,delay,0
Got my package.,4,positive,1
"Perfect delivery — no issues at all, great experience",4,positive,0
Delivery confirmed at the door,4,positive,1
Driver arrived 64 minutes after the estimated window.,0,delay,0
Delivery confirmed at the door.,4,positive,1
Laptop corner dented — poor handling during delivery.,1,damage,0
Driver came by earlier.,4,positive,1
Took 80 monutes longer than usual but driver was very polite about the delay.,0,delay,1
Great communication throughout the delivery process.,4,positive,0
"Wrong item delivered — ordered size L, got size S.",2,wrong_order,0
